Log_ID,Timestamp,Equipment_ID,Equipment_Type,Location,Operator_Shift_Hours,Payload_Weight_lbs,Reported_Incident,Is_Violation,Violation_Type,Expected_Section
LOG-1199,2026-03-29 19:16,REA-65,Reach Stacker,High-Voltage Line B,11.7,26827,No exception noted,0,None,None
LOG-1200,2026-03-31 08:00,YAR-67,Yard Hostler,High-Voltage Line B,9.7,26799,"Circuit de-energised before work, so no live-work equipment was needed",0,None,None
LOG-1201,2026-03-30 05:27,YAR-24,Yard Hostler,High-Voltage Line B,10.8,40617,No exception noted,0,None,None
LOG-1202,2026-03-29 19:28,YAR-97,Yard Hostler,Main Pedestrian Crosswalk,10.9,63366,Container transferred and seals verified against the manifest,0,None,None
LOG-1203,2026-03-31 08:45,YAR-42,Yard Hostler,Maintenance Track,11.7,36051,No exception noted,0,None,None
LOG-1204,2026-03-30 09:12,CON-63,Container Handler,Wheel Shop,8.8,55733,No exception noted,0,None,None
LOG-1205,2026-03-30 16:10,FOR-45,Forklift,Main Pedestrian Crosswalk,6.1,31084,No exception noted,0,None,None
LOG-1206,2026-03-29 12:52,YAR-21,Yard Hostler,Intermodal Ramp,8.5,56555,No exception noted,0,None,None
LOG-1207,2026-03-29 16:21,FOR-88,Forklift,Rail Siding 3,8.9,51915,"Catenary confirmed de-energised, grounded and tagged before the lift",0,None,None
LOG-1208,2026-03-30 16:40,YAR-49,Yard Hostler,High-Voltage Line B,6.9,52215,Scheduled sensor calibration completed on the spreader,0,None,None
LOG-1209,2026-03-29 23:25,TER-29,Terminal Tractor,Main Pedestrian Crosswalk,10.0,30842,Scheduled sensor calibration completed on the spreader,0,None,None
LOG-1210,2026-03-31 03:30,GAN-70,Gantry Crane,Main Pedestrian Crosswalk,9.5,54179,No exception noted,0,None,None
LOG-1211,2026-03-30 10:08,CON-74,Container Handler,Intermodal Ramp,11.2,35961,Tyre pressure indicator illuminated and reinflated at the air station,0,None,None
LOG-1212,2026-03-30 06:44,CON-44,Container Handler,Wheel Shop,11.9,18036,Rim wheel deflated and seated in the restraining device before service,0,None,None
LOG-1213,2026-03-30 21:03,FOR-52,Forklift,Loading Dock 2,11.3,63298,Freight palletised and stacked within the marked aisle boundaries,0,None,None
LOG-1214,2026-03-30 03:24,YAR-42,Yard Hostler,Loading Dock 2,11.1,37889,No exception noted,0,None,None
LOG-1215,2026-03-30 21:25,YAR-22,Yard Hostler,Container Stack Row C,7.0,59045,No exception noted,0,None,None
LOG-1216,2026-03-31 08:24,CON-96,Container Handler,Bay 2,7.6,39764,Scheduled sensor calibration completed on the spreader,0,None,None
LOG-1217,2026-03-30 03:42,FOR-15,Forklift,Wheel Shop,9.7,12262,Routine load imbalance alarm cleared after twistlock engagement,0,None,None
LOG-1218,2026-03-30 18:20,YAR-79,Yard Hostler,Bay 2,9.2,28065,Train employee logged out before the end of the permitted duty period,0,None,None
LOG-1219,2026-03-29 13:18,TER-43,Terminal Tractor,Bay 1,6.9,20611,No exception noted,0,None,None
LOG-1220,2026-03-30 22:20,REA-79,Reach Stacker,Rail Siding 3,7.0,42332,No exception noted,0,None,None
LOG-1221,2026-03-31 09:34,CON-50,Container Handler,High-Voltage Line B,7.6,62218,Scheduled sensor calibration completed on the spreader,0,None,None
LOG-1222,2026-03-29 17:06,CON-29,Container Handler,Bay 1,6.0,53895,Lift truck kept in service after the mast chain was found slack and frayed,1,truck_defect,1910.178
LOG-1223,2026-03-30 04:18,CON-45,Container Handler,Wheel Shop,8.8,54080,Enclosure verified closed and guarded before re-energising,0,None,None
LOG-1224,2026-03-31 14:00,REA-75,Reach Stacker,Loading Dock 2,9.6,36368,No hours-of-duty entry filed for the completed assignment,1,duty_records,228.11
LOG-1225,2026-03-30 23:15,REA-55,Reach Stacker,Main Pedestrian Crosswalk,6.9,53206,Routine load imbalance alarm cleared after twistlock engagement,0,None,None
LOG-1226,2026-03-30 19:40,GAN-64,Gantry Crane,Intermodal Ramp,8.9,60497,Tyre pressure indicator illuminated and reinflated at the air station,0,None,None
LOG-1227,2026-03-29 17:21,REA-92,Reach Stacker,Bay 4,11.4,34794,No exception noted,0,None,None
LOG-1228,2026-03-31 11:12,CON-94,Container Handler,Bay 4,11.4,59382,Open-sided stairway to the ramp office missing its handrail,1,stairway,1910.25
LOG-1229,2026-03-31 03:48,REA-38,Reach Stacker,High-Voltage Line B,10.4,56359,No exception noted,0,None,None
LOG-1230,2026-03-31 11:40,GAN-83,Gantry Crane,Main Pedestrian Crosswalk,9.8,16417,Routine load imbalance alarm cleared after twistlock engagement,0,None,None
LOG-1231,2026-03-30 20:30,TER-10,Terminal Tractor,Wheel Shop,11.2,27130,No exception noted,0,None,None
LOG-1232,2026-03-29 17:36,YAR-13,Yard Hostler,Intermodal Ramp,7.2,20795,Edge work performed from an aerial lift with the harness attached,0,None,None
LOG-1233,2026-03-31 08:29,YAR-33,Yard Hostler,Loading Dock 2,7.3,17002,Dockboard placed without anchors and moved during transit into the boxcar,1,dockboard,1910.26
LOG-1234,2026-03-29 21:36,YAR-91,Yard Hostler,Container Stack Row C,8.1,12209,Sling inspected before the lift with its capacity tag legible,0,None,None
LOG-1235,2026-03-29 21:40,YAR-57,Yard Hostler,Maintenance Track,6.1,17114,No exception noted,0,None,None
LOG-1236,2026-03-30 17:24,CON-20,Container Handler,Bay 4,9.0,53329,Scheduled sensor calibration completed on the spreader,0,None,None
LOG-1237,2026-03-29 21:48,YAR-61,Yard Hostler,Bay 4,11.5,23555,Lift truck kept in service after the mast chain was found slack and frayed,1,truck_defect,1910.178
LOG-1238,2026-03-30 05:48,FOR-10,Forklift,High-Voltage Line B,11.4,54900,Scheduled sensor calibration completed on the spreader,0,None,None
LOG-1239,2026-03-30 05:54,GAN-29,Gantry Crane,Maintenance Track,11.8,42797,Panel left open with energised parts exposed to the walkway,1,live_parts,1910.303
LOG-1240,2026-03-30 14:00,TER-73,Terminal Tractor,Intermodal Ramp,6.6,56542,Scheduled sensor calibration completed on the spreader,0,None,None
LOG-1241,2026-03-29 18:03,REA-79,Reach Stacker,Rail Siding 3,11.7,36045,No exception noted,0,None,None
LOG-1242,2026-03-29 14:04,FOR-42,Forklift,High-Voltage Line B,8.2,27523,Enclosure verified closed and guarded before re-energising,0,None,None
LOG-1243,2026-03-31 14:42,CON-41,Container Handler,Rail Siding 3,6.4,62196,Container transferred and seals verified against the manifest,0,None,None
LOG-1244,2026-03-30 02:20,YAR-89,Yard Hostler,Bay 4,6.1,31017,No exception noted,0,None,None
LOG-1245,2026-03-31 11:05,YAR-90,Yard Hostler,Rail Siding 3,10.9,23824,No exception noted,0,None,None
LOG-1246,2026-03-29 22:24,TER-98,Terminal Tractor,Loading Dock 2,8.8,60719,Container transferred and seals verified against the manifest,0,None,None
LOG-1247,2026-03-29 18:21,FOR-81,Forklift,Main Pedestrian Crosswalk,6.8,17001,Routine load imbalance alarm cleared after twistlock engagement,0,None,None
LOG-1248,2026-03-30 15:04,TER-84,Terminal Tractor,Bay 2,7.4,29002,Container transferred and seals verified against the manifest,0,None,None
LOG-1249,2026-03-30 06:54,GAN-78,Gantry Crane,Bay 1,7.8,64128,Guardrail height and toeboard verified during inspection,0,None,None
LOG-1250,2026-03-30 11:10,YAR-19,Yard Hostler,Wheel Shop,11.6,18177,Work performed on an energised circuit without insulating gloves issued,1,electrical_ppe,1910.335
LOG-1251,2026-03-31 16:34,YAR-61,Yard Hostler,Bay 2,8.3,21296,Tyre pressure indicator illuminated and reinflated at the air station,0,None,None
LOG-1252,2026-03-31 16:48,GAN-52,Gantry Crane,Loading Dock 2,9.3,29306,No exception noted,0,None,None
LOG-1253,2026-03-31 00:10,FOR-51,Forklift,Bay 2,6.5,54413,Duty record completed and countersigned by the supervisor,0,None,None
LOG-1254,2026-03-31 04:34,FOR-67,Forklift,Rail Siding 3,10.9,35456,No exception noted,0,None,None
LOG-1255,2026-03-31 09:00,YAR-82,Yard Hostler,Wheel Shop,7.3,26272,"Circuit de-energised before work, so no live-work equipment was needed",0,None,None
LOG-1256,2026-03-30 03:20,CON-92,Container Handler,Loading Dock 2,11.9,33043,Tyre pressure indicator illuminated and reinflated at the air station,0,None,None
LOG-1257,2026-03-29 18:51,YAR-60,Yard Hostler,High-Voltage Line B,6.5,52138,Routine load imbalance alarm cleared after twistlock engagement,0,None,None
LOG-1258,2026-03-31 01:00,TER-67,Terminal Tractor,Rail Siding 3,6.9,13770,No hours-of-duty entry filed for the completed assignment,1,duty_records,228.11
LOG-1259,2026-03-31 01:10,FOR-11,Forklift,Bay 2,6.0,19457,Sling used with a crushed eye fitting and no legible capacity tag,1,sling,1910.184
LOG-1260,2026-03-30 21:00,FOR-10,Forklift,Bay 4,9.0,26763,No exception noted,0,None,None
LOG-1261,2026-03-31 10:12,FOR-66,Forklift,Wheel Shop,7.0,56491,Container transferred and seals verified against the manifest,0,None,None
LOG-1262,2026-03-30 21:18,REA-96,Reach Stacker,Bay 4,6.1,56606,Employee working the open edge of the stack with no arrest system attached,1,fall_protection,1910.28
LOG-1263,2026-03-29 14:46,REA-53,Reach Stacker,Intermodal Ramp,7.1,19678,Lift truck kept in service after the mast chain was found slack and frayed,1,truck_defect,1910.178
LOG-1264,2026-03-31 02:00,TER-94,Terminal Tractor,Wheel Shop,11.7,21623,No exception noted,0,None,None
LOG-1265,2026-03-30 12:55,REA-20,Reach Stacker,Container Stack Row C,11.8,60166,Scheduled sensor calibration completed on the spreader,0,None,None
LOG-1266,2026-03-31 06:46,FOR-19,Forklift,Rail Siding 3,6.3,52850,Scheduled sensor calibration completed on the spreader,0,None,None
LOG-1267,2026-03-30 04:15,YAR-94,Yard Hostler,Intermodal Ramp,10.3,20965,No exception noted,0,None,None
LOG-1268,2026-03-31 20:32,TER-18,Terminal Tractor,Maintenance Track,10.6,60116,No exception noted,0,None,None
LOG-1269,2026-03-31 11:48,YAR-39,Yard Hostler,Intermodal Ramp,9.3,54428,No exception noted,0,None,None
LOG-1270,2026-03-30 09:00,YAR-37,Yard Hostler,Loading Dock 2,6.4,19211,Tyre pressure indicator illuminated and reinflated at the air station,0,None,None
LOG-1271,2026-03-30 22:39,FOR-37,Forklift,Loading Dock 2,11.3,55476,Scheduled sensor calibration completed on the spreader,0,None,None
LOG-1272,2026-03-31 21:28,REA-48,Reach Stacker,Bay 4,7.0,29910,Edge work performed from an aerial lift with the harness attached,0,None,None
LOG-1273,2026-03-30 22:57,CON-18,Container Handler,Maintenance Track,10.9,50384,Tyre pressure indicator illuminated and reinflated at the air station,0,None,None
LOG-1274,2026-03-31 03:40,CON-24,Container Handler,Loading Dock 2,6.1,59073,Guardrail height and toeboard verified during inspection,0,None,None
LOG-1275,2026-03-31 08:25,REA-95,Reach Stacker,Container Stack Row C,10.2,52875,No exception noted,0,None,None
LOG-1276,2026-03-29 19:48,CON-89,Container Handler,Maintenance Track,9.9,16023,Junction box cover missing and live conductors reachable from the aisle,1,live_parts,1910.303
LOG-1277,2026-03-31 18:01,CON-50,Container Handler,Main Pedestrian Crosswalk,6.7,41789,Standing oily runoff spread over the pedestrian route with no containment,1,housekeeping,1910.22
LOG-1278,2026-03-30 19:04,REA-71,Reach Stacker,High-Voltage Line B,9.7,52335,Tyre pressure indicator illuminated and reinflated at the air station,0,None,None
LOG-1279,2026-03-30 23:51,YAR-58,Yard Hostler,Maintenance Track,14.1,49267,Train employee remained on duty to complete consist tie-down,1,duty_limit,21103
LOG-1280,2026-03-30 19:20,TER-23,Terminal Tractor,Bay 2,11.8,18017,Ladder inspected before use with all rungs intact,0,None,None
LOG-1281,2026-03-30 10:06,CON-29,Container Handler,Container Stack Row C,8.4,64139,Palletised freight left obstructing the designated traffic aisle,1,aisle_obstruction,1910.176
LOG-1282,2026-03-30 00:48,GAN-91,Gantry Crane,Maintenance Track,9.2,38319,Duty record for the tour left unsigned and incomplete,1,duty_records,228.11
LOG-1283,2026-03-30 05:35,REA-16,Reach Stacker,Bay 4,9.8,52807,No exception noted,0,None,None
LOG-1284,2026-03-31 14:48,GAN-58,Gantry Crane,Wheel Shop,7.4,54367,No exception noted,0,None,None
LOG-1285,2026-03-29 15:30,YAR-29,Yard Hostler,Bay 4,8.4,13476,Gantry inspection current and the limit switch function-tested,0,None,None
LOG-1286,2026-03-29 20:18,YAR-21,Yard Hostler,Bay 4,7.0,15782,Container transferred and seals verified against the manifest,0,None,None
LOG-1287,2026-03-31 10:37,GAN-38,Gantry Crane,Bay 4,9.4,32526,Lift truck removed from service and tagged pending repair,0,None,None
LOG-1288,2026-03-31 20:24,FOR-77,Forklift,Wheel Shop,6.6,34495,Multi-piece rim assembly inflated outside any restraining device,1,rim_wheel,1910.177
LOG-1289,2026-03-30 15:43,GAN-93,Gantry Crane,Main Pedestrian Crosswalk,9.2,62034,Tyre pressure indicator illuminated and reinflated at the air station,0,None,None
LOG-1290,2026-03-30 15:50,CON-15,Container Handler,Bay 4,6.7,55884,Worker on the container roof at eight feet with no fall protection rigged,1,fall_protection,1910.28
LOG-1291,2026-03-29 20:33,CON-47,Container Handler,Intermodal Ramp,9.1,59908,Overhead crane run with the upper limit switch known inoperative,1,crane_inspection,1910.179
LOG-1292,2026-03-30 06:20,GAN-33,Gantry Crane,High-Voltage Line B,11.0,64990,No exception noted,0,None,None
LOG-1293,2026-03-30 11:18,YAR-91,Yard Hostler,High-Voltage Line B,9.6,61530,Work performed on an energised circuit without insulating gloves issued,1,electrical_ppe,1910.335
LOG-1294,2026-03-31 02:06,GAN-93,Gantry Crane,Bay 4,9.6,54404,No exception noted,0,None,None
LOG-1295,2026-03-30 16:25,FOR-20,Forklift,Bay 1,10.6,17661,Container transferred and seals verified against the manifest,0,None,None
LOG-1296,2026-03-29 15:52,REA-74,Reach Stacker,Rail Siding 3,10.6,29152,Tyre pressure indicator illuminated and reinflated at the air station,0,None,None
LOG-1297,2026-03-30 21:36,REA-73,Reach Stacker,Main Pedestrian Crosswalk,9.4,21619,No exception noted,0,None,None
LOG-1298,2026-03-31 17:36,TER-83,Terminal Tractor,Loading Dock 2,10.8,44903,Marked route swept and confirmed dry at shift start,0,None,None
LOG-1299,2026-03-29 15:58,REA-10,Reach Stacker,Maintenance Track,9.7,46122,Scheduled sensor calibration completed on the spreader,0,None,None
LOG-1300,2026-03-30 07:00,TER-29,Terminal Tractor,Loading Dock 2,9.8,45908,No exception noted,0,None,None
LOG-1301,2026-03-30 07:05,REA-16,Reach Stacker,Container Stack Row C,9.1,63843,Stair run to the dispatch office in use with the handrail detached,1,stairway,1910.25
LOG-1302,2026-03-31 08:20,YAR-27,Yard Hostler,Wheel Shop,7.6,53583,Routine load imbalance alarm cleared after twistlock engagement,0,None,None
LOG-1303,2026-03-29 21:09,CON-81,Container Handler,High-Voltage Line B,9.4,41309,"Catenary confirmed de-energised, grounded and tagged before the lift",0,None,None
LOG-1304,2026-03-29 16:08,REA-90,Reach Stacker,Bay 1,11.0,59367,No exception noted,0,None,None
LOG-1305,2026-04-01 05:10,FOR-55,Forklift,Maintenance Track,7.8,54661,Tyre pressure indicator illuminated and reinflated at the air station,0,None,None
LOG-1306,2026-03-31 14:06,REA-12,Reach Stacker,Maintenance Track,10.9,51503,Panel left open with energised parts exposed to the walkway,1,live_parts,1910.303
LOG-1307,2026-03-31 04:03,REA-28,Reach Stacker,Loading Dock 2,9.4,50333,Container transferred and seals verified against the manifest,0,None,None
LOG-1308,2026-03-29 16:16,GAN-82,Gantry Crane,Loading Dock 2,6.3,50975,Elevated platform rail installed well below the required height,1,guardrail,1910.29
LOG-1309,2026-03-29 16:18,REA-61,Reach Stacker,Rail Siding 3,9.2,49855,No exception noted,0,None,None
LOG-1310,2026-03-29 16:20,YAR-65,Yard Hostler,Wheel Shop,9.3,38057,Enclosure verified closed and guarded before re-energising,0,None,None
LOG-1311,2026-03-29 21:33,TER-95,Terminal Tractor,Intermodal Ramp,10.6,59253,Daily truck inspection completed with no defects found,0,None,None
LOG-1312,2026-03-30 23:36,GAN-79,Gantry Crane,Bay 2,8.0,30670,No exception noted,0,None,None
LOG-1313,2026-03-31 10:10,FOR-30,Forklift,High-Voltage Line B,11.0,42259,Scheduled sensor calibration completed on the spreader,0,None,None
LOG-1314,2026-03-30 02:56,CON-36,Container Handler,Loading Dock 2,11.3,19792,Portable dockboard shifted under the forklift with no securing device fitted,1,dockboard,1910.26
LOG-1315,2026-03-30 03:00,CON-22,Container Handler,Rail Siding 3,7.2,34583,Lift truck removed from service and tagged pending repair,0,None,None
LOG-1316,2026-03-30 08:20,CON-86,Container Handler,Bay 4,9.9,50646,Container transferred and seals verified against the manifest,0,None,None
LOG-1317,2026-03-31 10:50,YAR-15,Yard Hostler,Intermodal Ramp,6.3,37442,Portable dockboard shifted under the forklift with no securing device fitted,1,dockboard,1910.26
LOG-1318,2026-03-30 19:06,FOR-34,Forklift,Wheel Shop,11.8,45329,Insulating gloves and face protection worn for the energised task,0,None,None
LOG-1319,2026-03-31 16:29,GAN-36,Gantry Crane,Rail Siding 3,10.4,30181,Scheduled sensor calibration completed on the spreader,0,None,None
LOG-1320,2026-03-31 11:20,REA-80,Reach Stacker,Bay 2,6.7,58547,Tyre pressure indicator illuminated and reinflated at the air station,0,None,None
LOG-1321,2026-03-31 11:30,FOR-73,Forklift,Main Pedestrian Crosswalk,8.7,38553,Container transferred and seals verified against the manifest,0,None,None
LOG-1322,2026-04-01 14:30,FOR-60,Forklift,Main Pedestrian Crosswalk,11.9,18105,Standing oily runoff spread over the pedestrian route with no containment,1,housekeeping,1910.22
LOG-1323,2026-04-01 14:45,GAN-52,Gantry Crane,Maintenance Track,6.2,40532,Junction box cover missing and live conductors reachable from the aisle,1,live_parts,1910.303
LOG-1324,2026-03-30 09:00,REA-37,Reach Stacker,High-Voltage Line B,9.3,52976,"Catenary confirmed de-energised, grounded and tagged before the lift",0,None,None
LOG-1325,2026-03-31 12:10,YAR-58,Yard Hostler,Bay 2,9.0,18978,Routine load imbalance alarm cleared after twistlock engagement,0,None,None
LOG-1326,2026-03-30 03:44,FOR-80,Forklift,Bay 1,6.1,39354,Tyre pressure indicator illuminated and reinflated at the air station,0,None,None
LOG-1327,2026-03-31 17:57,GAN-46,Gantry Crane,Main Pedestrian Crosswalk,6.2,53945,Routine load imbalance alarm cleared after twistlock engagement,0,None,None
LOG-1328,2026-03-31 12:40,CON-57,Container Handler,Wheel Shop,11.1,16933,Rim wheel deflated and seated in the restraining device before service,0,None,None
LOG-1329,2026-03-29 16:58,REA-24,Reach Stacker,Maintenance Track,7.8,19841,No exception noted,0,None,None
LOG-1330,2026-04-01 11:00,GAN-38,Gantry Crane,Main Pedestrian Crosswalk,11.5,28919,No exception noted,0,None,None
LOG-1331,2026-03-31 18:41,REA-75,Reach Stacker,Bay 4,8.7,45734,Edge work performed from an aerial lift with the harness attached,0,None,None
LOG-1332,2026-04-01 17:00,YAR-21,Yard Hostler,Bay 2,7.4,49217,Scheduled sensor calibration completed on the spreader,0,None,None
LOG-1333,2026-04-01 06:09,TER-97,Terminal Tractor,Bay 4,8.8,14056,Tyre pressure indicator illuminated and reinflated at the air station,0,None,None
LOG-1334,2026-03-29 22:42,CON-25,Container Handler,Loading Dock 2,10.8,50450,Dockboard secured with anchor pins and checked before the lift,0,None,None
LOG-1335,2026-04-01 12:10,GAN-33,Gantry Crane,Loading Dock 2,10.8,31248,Stair treads and handrail inspected and found sound,0,None,None
LOG-1336,2026-04-01 12:24,FOR-72,Forklift,Loading Dock 2,7.3,35556,Scheduled sensor calibration completed on the spreader,0,None,None
LOG-1337,2026-04-01 18:15,TER-90,Terminal Tractor,Rail Siding 3,6.4,45335,Tyre pressure indicator illuminated and reinflated at the air station,0,None,None
LOG-1338,2026-03-30 21:26,CON-67,Container Handler,Maintenance Track,6.9,41974,Multi-piece rim assembly inflated outside any restraining device,1,rim_wheel,1910.177
LOG-1339,2026-03-30 04:36,GAN-13,Gantry Crane,High-Voltage Line B,8.2,29672,No exception noted,0,None,None
LOG-1340,2026-03-30 04:40,TER-69,Terminal Tractor,Container Stack Row C,8.7,42155,Tyre pressure indicator illuminated and reinflated at the air station,0,None,None
LOG-1341,2026-03-31 03:28,GAN-59,Gantry Crane,Maintenance Track,11.2,26082,No exception noted,0,None,None
LOG-1342,2026-03-29 23:06,FOR-75,Forklift,Bay 1,6.6,34487,Portable ladder with a cracked side rail used to reach the container roof,1,ladder,1910.23
LOG-1343,2026-03-30 22:01,REA-67,Reach Stacker,Rail Siding 3,7.0,51573,Tyre pressure indicator illuminated and reinflated at the air station,0,None,None
LOG-1344,2026-03-31 15:20,YAR-98,Yard Hostler,Bay 4,10.3,46834,Worker on the container roof tied off to a rated anchor,0,None,None
LOG-1345,2026-03-29 17:30,TER-17,Terminal Tractor,Bay 1,7.7,24395,Scheduled sensor calibration completed on the spreader,0,None,None
LOG-1346,2026-03-31 15:40,GAN-33,Gantry Crane,Intermodal Ramp,10.3,57600,Container transferred and seals verified against the manifest,0,None,None
LOG-1347,2026-03-31 10:03,GAN-42,Gantry Crane,Intermodal Ramp,6.1,13966,Worker on the container roof at eight feet with no fall protection rigged,1,fall_protection,1910.28
LOG-1348,2026-03-30 22:36,GAN-39,Gantry Crane,Container Stack Row C,9.1,46966,Employee working the open edge of the stack with no arrest system attached,1,fall_protection,1910.28
LOG-1349,2026-04-01 21:15,GAN-19,Gantry Crane,Wheel Shop,6.7,14806,No exception noted,0,None,None
LOG-1350,2026-03-31 22:10,REA-94,Reach Stacker,Bay 1,6.5,25506,Scheduled sensor calibration completed on the spreader,0,None,None
LOG-1351,2026-03-31 10:39,TER-80,Terminal Tractor,Container Stack Row C,6.5,17270,Scheduled sensor calibration completed on the spreader,0,None,None
LOG-1352,2026-03-31 16:40,TER-15,Terminal Tractor,Loading Dock 2,8.9,29865,Scheduled sensor calibration completed on the spreader,0,None,None
LOG-1353,2026-03-31 22:43,REA-51,Reach Stacker,Maintenance Track,7.8,57032,No exception noted,0,None,None
LOG-1354,2026-04-01 22:30,GAN-41,Gantry Crane,Container Stack Row C,9.2,53832,No exception noted,0,None,None
LOG-1355,2026-04-01 16:50,TER-38,Terminal Tractor,Main Pedestrian Crosswalk,6.7,63261,Tyre pressure indicator illuminated and reinflated at the air station,0,None,None
LOG-1356,2026-03-31 05:28,CON-50,Container Handler,Maintenance Track,7.2,23824,Routine load imbalance alarm cleared after twistlock engagement,0,None,None
LOG-1357,2026-03-29 17:54,TER-98,Terminal Tractor,Bay 1,6.0,35004,Tyre pressure indicator illuminated and reinflated at the air station,0,None,None
LOG-1358,2026-03-30 17:48,CON-28,Container Handler,Intermodal Ramp,6.9,47849,No exception noted,0,None,None
LOG-1359,2026-04-01 23:45,REA-75,Reach Stacker,Intermodal Ramp,7.8,33577,Marked route swept and confirmed dry at shift start,0,None,None
LOG-1360,2026-04-01 18:00,FOR-35,Forklift,Loading Dock 2,11.4,42031,No exception noted,0,None,None
LOG-1361,2026-04-01 18:14,GAN-39,Gantry Crane,Bay 4,9.8,32582,No exception noted,0,None,None
LOG-1362,2026-04-02 00:30,TER-99,Terminal Tractor,Loading Dock 2,11.4,33573,Aisle kept clear and stacks squared during the transfer,0,None,None
LOG-1363,2026-04-01 06:36,GAN-90,Gantry Crane,Intermodal Ramp,9.3,19180,Marked route swept and confirmed dry at shift start,0,None,None
LOG-1364,2026-04-01 12:52,CON-41,Container Handler,Intermodal Ramp,8.5,47077,Edge work performed from an aerial lift with the harness attached,0,None,None
LOG-1365,2026-04-02 01:15,CON-78,Container Handler,Bay 4,7.9,12799,Gantry inspection current and the limit switch function-tested,0,None,None
LOG-1366,2026-03-30 12:30,YAR-48,Yard Hostler,Intermodal Ramp,10.5,39733,Gantry inspection current and the limit switch function-tested,0,None,None
LOG-1367,2026-04-01 01:17,CON-43,Container Handler,High-Voltage Line B,8.5,17261,Routine load imbalance alarm cleared after twistlock engagement,0,None,None
LOG-1368,2026-04-01 19:52,YAR-84,Yard Hostler,Bay 2,7.3,13379,No exception noted,0,None,None
LOG-1369,2026-04-01 07:48,CON-14,Container Handler,Rail Siding 3,8.4,39797,Duty record completed and countersigned by the supervisor,0,None,None
LOG-1370,2026-03-31 07:20,CON-74,Container Handler,Bay 1,10.2,22090,Tyre pressure indicator illuminated and reinflated at the air station,0,None,None
LOG-1371,2026-03-30 00:33,CON-12,Container Handler,High-Voltage Line B,6.5,25240,Work performed on an energised circuit without insulating gloves issued,1,electrical_ppe,1910.335
LOG-1372,2026-04-01 14:36,CON-28,Container Handler,Loading Dock 2,10.9,19921,No exception noted,0,None,None
LOG-1373,2026-04-01 08:36,GAN-92,Gantry Crane,Bay 2,10.3,63881,Container transferred and seals verified against the manifest,0,None,None
LOG-1374,2026-04-01 21:16,FOR-36,Forklift,Wheel Shop,11.7,32841,Scheduled sensor calibration completed on the spreader,0,None,None
LOG-1375,2026-03-31 14:15,REA-76,Reach Stacker,Bay 2,10.7,42837,Container transferred and seals verified against the manifest,0,None,None
LOG-1376,2026-03-30 00:48,YAR-39,Yard Hostler,Bay 1,7.2,55330,Scheduled sensor calibration completed on the spreader,0,None,None
LOG-1377,2026-03-30 13:25,REA-79,Reach Stacker,Bay 1,6.5,36234,Guardrail height and toeboard verified during inspection,0,None,None
LOG-1378,2026-04-02 04:30,GAN-52,Gantry Crane,Container Stack Row C,8.7,57639,Routine load imbalance alarm cleared after twistlock engagement,0,None,None
LOG-1379,2026-03-30 00:57,GAN-74,Gantry Crane,Bay 1,8.5,41552,No exception noted,0,None,None
LOG-1380,2026-03-30 01:00,CON-63,Container Handler,Maintenance Track,7.6,15535,Container transferred and seals verified against the manifest,0,None,None
LOG-1381,2026-03-29 18:42,CON-38,Container Handler,Loading Dock 2,8.6,31015,Container transferred and seals verified against the manifest,0,None,None
LOG-1382,2026-04-01 23:08,YAR-65,Yard Hostler,Loading Dock 2,9.5,38746,Container transferred and seals verified against the manifest,0,None,None
LOG-1383,2026-03-30 20:18,REA-21,Reach Stacker,Bay 4,11.2,40844,Routine load imbalance alarm cleared after twistlock engagement,0,None,None
LOG-1384,2026-04-02 06:00,TER-17,Terminal Tractor,Bay 2,10.1,16847,No exception noted,0,None,None
LOG-1385,2026-03-30 01:15,CON-22,Container Handler,High-Voltage Line B,11.9,20279,Scheduled sensor calibration completed on the spreader,0,None,None
LOG-1386,2026-04-01 17:38,GAN-12,Gantry Crane,High-Voltage Line B,11.8,42639,Container transferred and seals verified against the manifest,0,None,None
LOG-1387,2026-03-30 14:15,REA-50,Reach Stacker,Main Pedestrian Crosswalk,8.6,18585,No exception noted,0,None,None
LOG-1388,2026-03-30 14:20,CON-96,Container Handler,High-Voltage Line B,9.8,61792,Tyre pressure indicator illuminated and reinflated at the air station,0,None,None
LOG-1389,2026-03-30 20:54,TER-52,Terminal Tractor,Bay 4,8.8,41574,Tyre pressure indicator illuminated and reinflated at the air station,0,None,None
LOG-1390,2026-03-31 23:00,CON-48,Container Handler,Maintenance Track,7.6,39657,Container transferred and seals verified against the manifest,0,None,None
LOG-1391,2026-03-31 03:37,TER-23,Terminal Tractor,Rail Siding 3,7.0,64567,Scheduled sensor calibration completed on the spreader,0,None,None
LOG-1392,2026-03-30 14:40,FOR-37,Forklift,Container Stack Row C,7.5,38321,Routine load imbalance alarm cleared after twistlock engagement,0,None,None
LOG-1393,2026-04-01 06:03,GAN-44,Gantry Crane,Maintenance Track,8.2,41264,Tyre pressure indicator illuminated and reinflated at the air station,0,None,None
LOG-1394,2026-04-01 06:14,FOR-15,Forklift,Intermodal Ramp,7.8,24377,Mast raised inside the approach boundary of a live overhead line,1,approach_distance,1910.333
LOG-1395,2026-03-29 19:10,TER-72,Terminal Tractor,Wheel Shop,10.3,31260,No exception noted,0,None,None
